Transaction ID,Date of Purchase,Time of Purchase,Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type,Price,Departure Station,Arrival Destination,Date of Journey,Departure Time,Arrival Time,Actual Arrival Time,Journey Status,Reason for Delay,Refund Request
aa629304-3f4c-4ddd-9b82,2024-04-28,00:43:28,Online,Credit Card  ,disabled,Standard,Off-Peak,35.0,London Kings Cross,york,04/28/2024,02:00:00,03:50:00,3:50 AM,On-Time,,FALSE
dfe388f6-29c6-47ce-96cf,02/09/2024,05:07:31,Online, credit card  ,Disabled, standard,Anytime,29.0,BIRMINGHAM NEW STREET,London St Pancras,2024-02-09,6:30 AM,07:50:00,07:50:00,On Time,,FALSE
106a9fc2-d4b5-49d0-9065,01/21/2024,9:32 AM,Station  ,credit card,, Standard,Advance,-21.0,birmingham new street,London Euston,22-01-2024,08:00:00,9:20 AM,09:57:00,Delyed, Weather,0
4c264024-7a5b-45d9-99de,04/30/2024,4:12 PM, Station  ,CREDIT CARD,,Std,Anytime  ,-10.0,Birmingham New Street,TAMWORTH,"April 30, 2024",5:45 PM,18:05:00,, Cancelled,N/A,false
519f5c20-b5f6-4157-8a2e,"February 07, 2024",08:32:13,Online,Credit Card  ,,Standard,ADVANCE,13.0,London Paddington,Reading,08/02/2024,07:00:00,08:00:00,8:00 AM,On Time,,No
f78ac1f1-aa67-478d-b08a,2024/03/21,10:32:00, Online,NULL,, Standard, Advance,3.0,Manchester Piccadilly,Liverpool Lime Street,2024/03/22,09:00:00,09:30:00,09:30:00, On Time,NULL,0
80779780-7e1d-4410-9ae4,01/31/2024,15:01:02,Station,Contactless,ADULT,Standard  ,Anytime,17.0,LONDON PADDINGTON,READING,31/01/2024,16:30:00,5:30 PM,17:30:00,ON TIME  ,,No
a75e783e-6da5-41be-801f,21/04/2024,08:20:55, Online  ,CC,,Standard,Advance,18.0,London Paddington,OXFORD  ,2024-04-22,07:45:00,09:15:00,09:15:00,On Time,,0
871ce0d1-28e8-4067-af6b,10-03-2024,06:31:41,Station  ,Credit Card  ,N/A,Standard,Off-Peak,113.0,Liverpool Lime Street,LONDON EUSTON,10/03/2024,08:00:00,10:15:00,10:15:00,On Time,,no
58a90c70-98e2-4f8d-a8cd,2024-02-22,8:04 AM,Online,Credit Card,,Standard,Advance,6.0,york,doncaster,24/02/2024,06:30:00,7:00 AM,08:29:00,Delayed,Traffic,false
29ba9be7-096e-4bc3-8974,14-04-2024,17:07:06,ONLINE,Credit Card,Disabled,First Class  , ADVANCE,35.0, London Euston, Birmingham New Street,15/04/2024,15:30:00,16:50:00,16:50:00,On Time,,FALSE
c12e2eb8-bf2f-4a4c-b3f5,01/19/2024,4:00 AM,Online,CONTACTLESS,,STANDARD,advance,72.0,London Euston, manchester piccadilly,20-01-2024,02:30:00,4:20 AM,04:20:00,On Time  ,NULL,false
1ee9d5ce-eea0-4805-b08f,21/03/2024,17:26:24, Online,, senior  ,Standard,Anytime  ,11.0, Liverpool Lime Street,Crewe,21/03/2024,18:45:00,7:20 PM,19:20:00,On Time,,0
2b18c7c9-1f80-4b01-8152,18/02/2024,20:23:45, online  ,Credit Card,,standard,advance,8.0,LONDON ST PANCRAS,Birmingham New Street,2024-02-22,18:45:00,20:05:00,20:05:00,On Time,,no
d3cd1cba-6d39-4091-b263,"February 23, 2024",20:25:38,Online  ,None,,First Class,ADVANCE,£14.00,Birmingham New Street,NUNEATON,02/26/2024,18:45:00,19:05:00,7:05 PM,On-Time,,no
354e3408-3d61-4184-ae61,"April 19, 2024",6:50 PM,online,contactless,,Standard,off-peak,,London Euston  , Birmingham New Street,19-04-2024,8:15 PM,21:35:00,21:35:00,On Time,,No
03d619d6-6617-4c62-945f,2024/04/02,6:55 PM,Online  , Credit Card,Disabled, Standard, Off-Peak,-,Manchester Piccadilly,LIVERPOOL LIME STREET,2024-04-02,20:15:00,20:45:00,20:45:00,On Time,,no
e1156dac-9556-4dd5-9582,2024/01/14,4:08 PM, online,Credit Card,NULL,Standard,Off-Peak,-3.0,Liverpool Lime Street, Manchester Piccadilly,2024/01/14,17:30:00,18:00:00,6:00 PM,on time,,N
daf89971-49ef-43dd-abff,01/03/2024,08:09:42,Online,credit card,,Standard,ADVANCE,7.0,BIRMINGHAM NEW STREET,Nuneaton,04-01-2024,6:30 AM,6:50 AM,06:50:00,On-Time,,no
7613ccfc-d5c0-4db1-bc15,2024-03-09,17:25:29,Online,n/a,,1st Class,Off-Peak,80.0,London St Pancras,Birmingham New Street,03/09/2024,18:45:00,20:05:00,20:05:00,ON TIME,,no
0bf256fd-f703-4789-be3d,2024-02-18,8:02 AM,Online,CC,Disabled,Standrd,Advance,15.0,Birmingham New Street  ,London St Pancras,2024-02-19,6:30 AM,7:50 AM,07:50:00,On Time  ,-,no
8e35f8ce-e83a-4b76-80d4,12-01-2024,9:39 AM,Station,Credit Card,,Standard,Advance,NULL,Liverpool Lime Street  ,london euston,2024-01-13,08:00:00,10:15:00,11:10:00,Delayed, weather,FALSE
14792F87-D2AD-47BE-8CDB,2023-12-31,20:21:58,Online,Credit Card,,Standard,ADVANCE,5.0,Birmingham New Street  ,Tamworth,01-01-2024,18:45:00,19:05:00,19:05:00,ON TIME,,false
031993ea-bbb5-455d-ad22,04/12/2024,14:46:41,Online,Credit Card,n/a,STANDARD,Anytime,6.0,liverpool lime street,Manchester Piccadilly,12/04/2024,16:15:00,16:45:00,16:45:00, ON TIME,,FALSE
f8bf444f-2ed9-4eb3-b893,2024/04/02,15:37:52,Station,,,FIRST CLASS,ADVANCE,27.0,London Paddington,Reading,2024-04-03,14:00:00,15:00:00,15:00:00,On-Time,,no
8F2F95AA-C757-4B83-A75A,01/25/2024,00:23:30, Online,CONTACTLESS,,STANDARD,Off-Peak,53.0,London Kings Cross,York,25-01-2024,01:45:00,03:35:00,03:35:00,On Time,,N
d19862dd-f1ae-49f5-88c9,2024-04-10,12:03:13,STATION, Contactless,senior,STANDARD,Off-Peak,£3.00,MANCHESTER PICCADILLY,Liverpool Lime Street,"April 10, 2024",13:30:00,14:00:00,2:00 PM,On Time  ,,FALSE
509a0519-3313-4688-8d4f,2024/02/03,9:09 AM,Online,Credit Card,,Standard,Advance,3.0,London Paddington,London Waterloo,2024-02-04,07:30:00,9:00 AM,09:00:00,On Time,,no
1b9cd58e-7730-4ff1-b17f,2024-02-02,08:21:31,Online, credit card,,Standard, Advance,3.0,Liverpool Lime Street,Manchester Piccadilly,02/03/2024,06:45:00,7:15 AM,07:15:00,ON TIME,None,-
003e012b-4bbc-40a4-8c11,02-02-2024,5:03 PM,online  ,contactless,,standard,Advance,13.0, London Paddington, Reading,2024-02-16,15:30:00,4:30 PM,16:30:00, ON TIME,,No
fe2e4fae-317e-4f5c-928f,"April 28, 2024",00:05:04,Online,CREDIT CARD,,standard, Off-Peak,5.0,Liverpool Lime Street,Manchester Piccadilly  ,28/04/2024,22:30:00,23:00:00,None,OnTime,,false
e5d1511a-fbf5-4b83-9e11,2024-03-15,2:58 PM,Station,Contactless, adult,Standard,Anytime,17.0,London Paddington,Reading,03/15/2024,4:15 PM,17:15:00,,On Time  ,,false
4968906e-4d55-43ed-b652,04/09/2024,00:34:58,Online,,Disabled,Standrd,Advance,£24.00,london kings cross, Edinburgh Waverley,04/11/2024,16:00:00,20:20:00,, cancelled, weather,0
75e302d2-341f-414b-81cc,2024/03/22,16:00:20, STATION,Credit Card,,First Class, Anytime,21.0,Birmingham New Street,Tamworth  ,"March 22, 2024",17:45:00,18:05:00,6:05 PM,On Time  ,,FALSE
83a93431-18b4-4442-9a8f,2024-01-31,11:56 AM,Station  ,Contactless,Senior,Standard  ,Off-Peak,3.0,Manchester Piccadilly,Liverpool Lime Street,01/31/2024,13:15:00,13:45:00,NULL,ON TIME,,FALSE
49470118-29A8-4467-9178,04-03-2024,19:32:28,online,None,SENIOR  ,First class ,Advance,6.0, Manchester Piccadilly,Liverpool Lime Street,2024-03-05,18:45:00,7:15 PM,19:15:00,OnTime,,no
1d09b711-310a-4501-a90c,2024/01/31,1:40 PM,ONLINE,contactless,Adult,FIRST CLASS,advance,,Manchester Piccadilly,leeds,2024/02/01,12:00:00,12:45:00,12:45:00, On Time,,0
764d2187-d83f-4f28-9537,2024-01-31,17:47:23,Online  ,Credit Card,n/a,Standard,Advance,3.0,Liverpool Lime Street,Manchester Piccadilly,01/02/2024,16:15:00,4:45 PM,N/A,OnTime,,N
147272e4-419d-40eb-8589,"March 13, 2024",20:24:16,ONLINE,Credit Card,,Standard, ADVANCE  ,9.0,Reading,Swindon  ,2024-03-14,17:45:00,6:30 PM,18:30:00,On Time,,0
fe219d02-65a0-4a97-a5b4,14/02/2024,08:00:43,station,CREDIT CARD,, Standard  ,Advance,,London St Pancras,Birmingham New Street,02/15/2024,06:30:00,07:50:00,07:50:00,on time,,no
8365b652-ba3b-47e8-b06c,07-02-2024,6:12 AM,Online,Credit Crad,,Std,Anytime,n/a, READING  ,SWINDON,2024-02-07,07:30:00,08:15:00,08:15:00, On Time,,false
485894ae-007c-41d9-a833,03/03/2024,1:15 AM,Online, CONTACTLESS,,Standard,Off-Peak,4.0,Manchester Piccadilly,LIVERPOOL LIME STREET,2024-03-03,02:45:00,03:15:00,3:15 AM, On Time,,no
e175dc07-8e68-4fa0-9d0b,05-04-2024,12:33 PM, ONLINE,contactless,,Standard  ,ADVANCE,8.0,London St Pancras,Birmingham New Street,2024-04-06,11:00 AM,12:20 PM,None,On Time,N/A,no
ff27de94-7a94-417e-9e8d,2024-02-10,12:29 AM,Online,Contactless,DISABLED  ,Standard,advance,-24.0,London Kings Cross,edinburgh waverley,16-02-2024,16:00:00,20:20:00,20:20:00,OnTime,,No
da94a992-0c6f-4d02-9df1,2024-01-06,5:30 PM, Station,Credit Card,,Standrd,Off-Peak,12.0,London St Pancras,Birmingham New Street,2024-01-06,19:00:00,20:20:00,20:20:00,On Time,N/A,false
b49164b7-1677-4ce9-9392,2024-04-21,00:33:00, Online,Contactless,Disabled,FIRST CLASS,Advance,48.0,London Kings Cross, Edinburgh Waverley  ,"April 23, 2024",16:00:00,8:20 PM,20:20:00,On Time  ,,no
36f81c4d-b306-4e76-8052,2024-01-25,18:16:29,online  ,Credit Card,Senior,Std,Anytime,£3.00, Manchester Piccadilly,Liverpool Lime Street,25/01/2024,18:45:00,19:15:00,19:15:00,OnTime,,No
B21C66CA-861A-4D7C-BF8F,2024/02/09,15:49:07,Online,,Disabled,Standard,Anytime,17.0,London Paddington,reading,2024/02/09,17:15:00,18:15:00,18:15:00,On Time,,0
42b6275d-7a6f-462c-b61a,03/14/2024,12:05 PM,Station,Contactless  ,N/A,Standard,Off-Peak,3.0,Manchester Piccadilly,Liverpool Lime Street,14-03-2024,13:30:00,14:00:00,14:00:00,On-Time,,No
95c763f6-756f-4102-8a19,01/02/2024,5:21 PM,station,NULL,Adult,Std,Anytime,-11.0, London St Pancras  ,BIRMINGHAM NEW STREET,2024-02-01,18:45:00,20:05:00,20:05:00,ON TIME,,
31c5dbfe-407e-4f66-8d88,03/10/2024,17:19:14, Online, CREDIT CARD,,Standrd, Off-Peak  ,107.0,LONDON EUSTON,Manchester Piccadilly,"March 10, 2024",18:45:00,20:35:00,8:35 PM,On Time,,no
7fc307d9-41ca-4de5-bd0c,2024-03-10,09:00:17,Online,NULL,N/A,Standard, Off-Peak,3.0,manchester piccadilly,Liverpool Lime Street,10/03/2024,10:30 AM,11:00:00,11:00:00,On Time,,no
8ccfa8ec-8224-44b7-a93d,05/02/2024,17:44:47,Station,CC,ADULT,Standard,Advance,23.0,London Kings Cross,YORK,02/08/2024,16:00:00,17:50:00,17:50:00,OnTime,,N
1749282c-f1e5-4a4e-b951,16-03-2024,14:43:40,Station,N/A,ADULT,Standard,Off-Peak,35.0,London Kings Cross,York,2024-03-16,16:00:00,17:50:00,5:50 PM,On Time,,No
7d7e315a-08d1-415b-8243,07-02-2024,19:33:25,Station,NULL,Adult,Std,ADVANCE,4.0,LONDON EUSTON,Birmingham New Street,09/02/2024,17:45:00,7:05 PM,19:05:00,On-Time,,false
cc22187d-670e-4c0a-b274,08-02-2024,4:03 PM,Station,Debit Crad,,standard,Advance,76.0,Liverpool Lime Street,LONDON EUSTON  ,2024-02-09,15:30:00,17:45:00,17:49:00,Delayed  ,Staffing,Y
dddc4b32-6fb1-4dcf-8d80,23-04-2024,16:07:59,Station,Credit Crad,,Standard  , Anytime  ,5.0,Manchester Piccadilly,liverpool lime street,23-04-2024,17:45:00,6:15 PM,18:15:00,On Time,,no
89ef34ab-000e-41be-b5e0,04-04-2024,7:52 AM,Online,None,Disabled,Standard  ,anytime  ,48.0,LONDON KINGS CROSS, Edinburgh Waverley,04-04-2024,16:00:00,20:20:00,20:20:00,On Time,,No
a6bba9ca-d119-4f5f-8def,2024-03-07,15:48:56, online, Credit Card,,STANDARD,Anytime,70.0,london kings cross  ,YORK,07-03-2024,17:15:00,7:05 PM,19:05:00,ON TIME,NULL,FALSE
03c5936a-3980-420f-a0fe,04-01-2024,6:08 AM, Online,credit card,,Standard  ,ANYTIME,£70.00,London Kings Cross,York,01/04/2024,07:30:00,9:20 AM,,Cancelled,NULL,no
2255fafb-08b1-48d4-a55f,01/11/2024,20:28:10,STATION,Contacless,,STANDARD,Advance,£35.00,london kings cross  ,York,2024-01-12,17:45:00,19:35:00,,Cancelled,SIGNAL FAILURE,FALSE
90d7e699-6794-4106-819c,02-03-2024,22:35:08,online,Contact less,Adult,Standard,ADVANCE,,Manchester Piccadilly,Liverpool Lime Street,03/03/2024,12:00 AM,00:30:00,12:30 AM,ON TIME,,No
803f514e-11a9-4eb0-8f67,2024-03-22,05:48:32,Station,CONTACTLESS,None, Standard,Advance,2.0,Liverpool Lime Street,Manchester Piccadilly,03/23/2024,4:15 AM,04:45:00,04:45:00, on time,,FALSE
bbb2cb90-0d9a-42b0-a7a5,2024-03-28,20:11:42,station,Contactless,,standard,Advance,13.0,London Paddington,Reading,03/29/2024,18:30:00,19:30:00,19:30:00, On Time,,N
f575029f-f95c-43a1-8b33,2024/01/19,03:03:09,Online  ,CREDIT CARD,, Standard,Off-Peak,128.0, Manchester Piccadilly,London Paddington,01/19/2024,04:30:00,6:45 AM,6:45 AM,On Time,,false
bdbb00eb-3e37-499b-b3f5,2024/04/09,06:43:33, Online,Credit Card,Adult  , Standard, ANYTIME,3.0,Manchester Piccadilly,LIVERPOOL LIME STREET,09-04-2024,08:00:00,08:30:00,08:30:00,On Time,,No
5e4c487f-70ca-460b-b7d4,08/02/2024,4:13 PM,Station  ,CREDIT CARD,,STANDARD,anytime,N/A,manchester piccadilly,Liverpool Lime Street  ,2024-02-08,17:45:00,18:15:00,7:16 PM,Delayed,WEATHER CONDITIONS,FALSE
